county,state,population_x,lat,lon,lat_gmap,lon_gmap,total_panel_area,number_of_solar_system_per_person,average_household_income,per_capita_income,median_household_income,housing_unit_median_value,daily_solar_radiation,electricity_price_residential,electricity_price_commercial,electricity_price_industrial,incentive_count_residential,incentive_count_nonresidential,population_y,education_high_school_graduate_rate,voting_2016_dem_percentage
Alachua County,fl,237600,29.66161538461537,-82.37694230769233,29.6579549,-82.3017728,142004.26602925002,0.0036447811447811447,64023.00219994964,25746.5,45379.903846153844,144290.38461538462,4.620000000000003,11.580000000000002,9.5,8.220000000000011,41,31,4569.2307692307695,0.22257913642307695,0.5896250400000005
Alamance County,nc,130684,36.072033333333344,-79.41373333333331,36.011738799999996,-79.42537759999999,27180.460943025002,0.000619815738728536,58279.16025257835,24597.1,46334.03333333333,144480.0,4.1416666666666675,11.279999999999994,8.729999999999997,6.509999999999999,29,33,4356.133333333333,0.27758725630000003,0.4225571729999999
Alameda County,ca,1560494,37.718346704871095,-122.11791117478515,37.6016892,-121.7195459,1285497.1730535198,0.01676264054844171,101832.37188887219,37846.2893982808,81591.16618911175,525572.7793696275,4.67375358166188,16.98999999999986,15.729999999999903,12.17000000000005,75,85,4471.329512893983,0.18158957519197708,0.7931424749999996
Alamosa County,co,16269,37.49175,-105.85275,37.654039000000004,-105.87600400000001,6034.5636620000005,0.003995328538939086,50756.23578628987,19893.5,38630.25,144475.0,4.93,12.12,9.88,7.4,43,50,4067.25,0.2607700515,0.459330144
Albany County,ny,292679,42.677685714285744,-73.81938571428572,42.57567969999999,-73.93598209999998,97600.79295442301,0.005962163325691286,79899.07259214215,32210.47142857143,61120.58571428571,199221.42857142858,3.6428571428571463,18.53999999999998,15.309999999999972,6.310000000000001,28,36,4181.128571428571,0.2706355556571428,0.59513387
Albany County,wy,34978,41.336999999999996,-105.60155555555555,41.638448,-105.5943388,2349.5981940599995,0.0013722911544399336,60478.29727639516,26048.666666666668,43332.77777777778,206522.22222222222,4.3999999999999995,10.97,9.12,6.759999999999999,10,14,3886.4444444444443,0.18664542655555558,0.41948842899999994
Albemarle County,va,86168,38.04041176470588,-78.52223529411766,38.0567092,-78.61149990000001,2498.81155441,0.0005222356327174822,89956.89577504723,34750.58823529412,64297.76470588235,293505.8823529412,3.931764705882354,11.370000000000003,8.210000000000004,6.950000000000002,19,16,5068.705882352941,0.18871639505882354,0.593169915
Alcona County,mi,10550,44.67999999999999,-83.4822,44.672794399999994,-83.60223979999998,0.0,0.0,49462.013896279626,24560.2,40163.0,105840.0,3.59,14.419999999999998,10.55,7.019999999999999,15,30,2110.0,0.395949945,0.28030425600000003
Alcorn County,ms,37319,34.906285714285715,-88.53542857142858,34.8984684,-88.59517509999998,1075.08434736,0.00042873603258393846,47617.943807715375,19323.428571428572,35566.142857142855,83185.71428571429,4.28,11.269999999999998,10.549999999999999,6.5600000000000005,10,18,5331.285714285715,0.36514012914285715,0.181584467
Alexander County,il,7364,37.10825,-89.27550000000002,37.1670164,-89.3606298,192.63540113,0.00027159152634437803,37379.34702189163,14491.75,28780.5,48025.0,4.1225000000000005,12.5,9.02,6.67,18,28,1841.0,0.35003263824999997,0.44751773
Alexander County,nc,33260,35.8875,-81.18716666666667,35.897419899999996,-81.20781640000001,641.0974086,0.0003908598917618761,51049.43087082201,20046.0,41589.0,122100.0,4.1499999999999995,11.28,8.730000000000002,6.509999999999999,29,33,5543.333333333333,0.3940233063333333,0.20820609600000003
Alexandria city,va,120841,38.8179642857143,-77.08825,38.804835499999996,-77.0469214,1966.8057147499999,0.00036411482857639377,118907.79054044405,59682.42857142857,108545.39285714286,495400.0,3.980000000000001,11.370000000000003,8.210000000000006,6.9499999999999975,19,16,4315.75,0.10323230196428572,0.7682700579999998
Alfalfa County,ok,5755,36.71033333333333,-98.36033333333334,36.7435919,-98.3964938,360.37916268,0.0006950477845351868,71011.79060627455,31511.666666666668,49696.333333333336,64166.666666666664,4.57,10.14,7.68,5.349999999999999,8,19,1918.3333333333333,0.38447129266666663,0.095744681
Alger County,mi,9476,46.42333333333334,-86.61166666666666,46.927417999999996,-86.5087741,0.0,0.0,52588.47110413783,21608.666666666668,40795.666666666664,117933.33333333333,3.6,14.42,10.55,7.02,15,30,3158.6666666666665,0.4354885613333333,0.368491026
Allamakee County,ia,8951,43.27233333333334,-91.395,43.243075399999995,-91.443469,149.3563615,0.0008937548877220422,61813.11578459278,27467.333333333332,48812.0,116733.33333333333,3.74,11.63,8.92,5.900000000000001,18,26,2983.6666666666665,0.41588382599999996,0.352347521
Allegan County,mi,100602,42.59938095238096,-85.89785714285716,42.5709865,-86.3376761,1540.7186202300002,0.0005268284924752987,66405.18937137889,25825.85714285714,54084.142857142855,144157.14285714287,3.8185714285714285,14.419999999999996,10.550000000000002,7.019999999999998,15,30,4790.571428571428,0.37319150952380953,0.3251319060000001
Allegany County,md,69537,39.63681818181819,-78.80909090909091,39.6255251,-78.61149990000001,2030.93412512,0.0004601866632152667,53051.948058920425,21277.636363636364,40843.5,118336.36363636363,3.7199999999999993,13.819999999999995,11.0,8.53,28,39,3160.7727272727275,0.4255604827272727,0.2397137100000001
Allegany County,ny,48050,42.23075,-78.02591666666666,42.3129816,-78.0195387,589.3145999559999,0.00018730489073881374,53870.175733860146,21474.083333333332,43339.416666666664,72066.66666666667,3.5558333333333323,18.539999999999996,15.31,6.310000000000001,28,36,4004.1666666666665,0.38544244741666667,0.261410788
